Nimi,Arv,Kogupind (ha),Koguväärtus (eur)
Harju maakond,24016,11872.75,2243073426
Hiiu maakond,499,2776.59,21358094
Ida-Viru maakond,4771,6127.73,97616846
Jõgeva maakond,1559,7797.81,27677724
Järva maakond,1720,8055.27,29068092
Lääne maakond,1464,6221.54,30228144
Lääne-Viru maakond,2996,12964.90,59685193
Põlva maakond,1213,5686.68,38748872
Pärnu maakond,4111,14770.05,134867863
Rapla maakond,1857,9323.72,49127755
Saare maakond,2217,10509.73,72663,550
Tartu maakond,5955,9760.66,308150422
Valga maakond,1315,8184.39,35161174
Viljandi maakond,2265,12326.90,55058250
Võru maakond,1846,8193.05,30528566
KOKKU,57804,134571.77,3233013971
