Nimi,Arv,Kogupind (ha),Koguväärtus (eur)
Harju maakond,"24364","13314.73","2138243222"
Hiiu maakond,492,"2412.92","13828006"
Ida-Viru maakond,"4502","7068.91","91750885"
Jõgeva maakond,"1546","7636.55","26072427"
Järva maakond,"1639","7208.67","29980524"
Lääne maakond,"1449","7768.61","33489465"
Lääne-Viru maakond,"3006","11480.08","76812129"
Põlva maakond,"1286","5329.02","25688660"
Pärnu maakond,"4168","11507.93","159141452"
Rapla maakond,"1821","8355.64","42656276"
Saare maakond,"2176","9079.92","48610542"
Tartu maakond,"6121","9245.34","362793641"
Valga maakond,"1271","5745.78","28422724"
Viljandi maakond,"2103","8398.82","48236691"
Võru maakond,"2031","9507.33","48001664"
KOKKU,"57975","124060.25","3173728308"
